SGD,,,,,,,,Batch SGD,,,,,,
Epoches,w,t,beta,overall,training time,,,Epoches,w,t,beta,overall,training time,
1,0.606139706,0.728224913,0.273687291,0.536017303,9.3333252,,,1,0.05355577,0.045678081,0.028517588,0.042583813,0.1416787,
2,0.537158309,0.010214719,0.195189647,0.247520892,19.6473019,,,2,0.041311624,0.012815092,0.021274407,0.025133708,0.2503323,
5,0.521522439,0.676155832,0.136404612,0.444694294,50.1611658,,,5,0.051235597,0.02765044,0.013338174,0.030741404,0.6718789,
10,0.546745019,0.15390557,0.095304414,0.265318335,98.454093,,,10,0.064952874,0.039133281,0.026664744,0.043583633,1.2208895,
20,0.499547261,0.178715934,0.241286876,0.30651669,196.0749034,,,20,0.047311392,0.055365312,0.040150465,0.047609056,2.4829876,
30,0.565303318,0.481735933,0.16680693,0.404615394,284.3656852,,,30,0.053150234,0.010168958,0.038960716,0.034093303,3.7565146,
50,0.468067125,0.744258349,0.163351239,0.458558904,452.7361426,,,50,0.046644138,0.038369516,0.014063574,0.033025743,6.5684521,
,,,,,,,,,,,,,,
SGD with gamma_n decayed,,,,,,,,Batch SGD with gamma_n decayed,,,,,,
Epoches,w,t,beta,overall,training time,,,Epoches,w,t,beta,overall,training time,
1,0.060286425,0.028369357,0.040626915,0.043094232,9.6457014,,,1,0.325615414,0.042762602,0.390445092,0.252941036,0.1520523,
2,0.075889207,0.056480094,0.011416728,0.047928676,18.857489,,,2,0.161053346,0.061418642,0.150529784,0.124333924,0.3063951,
5,0.083290682,0.048317082,0.044151757,0.058586507,45.8980195,,,5,0.030722476,0.013924609,0.025862245,0.02350311,0.7744487,
10,0.075628188,0.123348124,0.028876164,0.075950825,95.1072255,,,10,0.015212755,0.009314168,0.006667109,0.01039801,1.5824177,
20,0.082017024,0.127219312,0.025648754,0.07829503,232.7508287,,,20,0.016251554,0.005469714,0.010529809,0.010750359,3.1191398,
30,0.06478431,0.053344444,0.03296617,0.050364975,324.9480153,,,30,0.016920479,0.010562736,0.008105784,0.011863,3.73341,
50,0.06432701,0.014578861,0.038502974,0.039136282,521.0642649,,,50,0.016478227,0.005390627,0.005484774,0.009117876,6.2214178,
,,,,,,,,,,,,,,
ASGD with gamma_n decayed,,,,,,,,Batch ASGD with gamma_n decayed,,,,,,
Epoches,w,t,beta,overall,training time,,,Epoches,w,t,beta,overall,training time,
1,0.045244531,0.06436922,0.009784338,0.039799363,9.6457014,,,1,0.440955496,0.03045396,0.571561372,0.347656943,0.1520523,
2,0.044764586,0.058129022,0.019710774,0.040868128,18.857489,,,2,0.317493132,0.149950352,0.309234134,0.25889254,0.3063951,
5,0.04451263,0.077618304,0.09482906,0.072319998,45.8980195,,,5,0.173151489,0.068903273,0.236488121,0.159514294,0.7744487,
10,0.04803017,0.057313538,0.020287092,0.041876933,95.1072255,,,10,0.070297864,0.036918572,0.064211606,0.057142681,1.5824177,
20,0.0509782,0.061093283,0.019816488,0.043962657,232.7508287,,,20,0.039935517,0.016705293,0.026844323,0.027828378,3.1191398,
30,0.049562688,0.060916383,0.019148668,0.043209246,324.9480153,,,30,0.022734145,0.00980124,0.018848125,0.017127837,3.73341,
50,0.04712787,0.05796649,0.018818047,0.041304136,521.0642649,,,50,0.017021331,0.003461593,0.012884244,0.01112239,6.2214178,
